feature,mean_abs_shap
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,0.09053019
d-band_center_of_M1,0.028864803
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,0.027294446
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,0.026775198
Atomic_Weight_of_N,0.01272651
Average_electronegativity_of_M1_and_N,0.012337485
Limited_specific_capacity(mAh/g),0.011549307
Current_density(mA/g),0.010817224
Current_density(mA/g).1,0.008949247
Limited_specific_capacity(mAh/g).1,0.0062820213
Atomic_Weight_of_M1,0.003639792
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,0.0036254965
Difference_in_the_First_ionization_energy_of_metals,0.0031517379
Average_electronegativity_of_M2_and_N,0.002939445
VanDer_Waals_Radius_of_M1,0.0027775182
Electron_Affinity_of_M2,0.002754287
Electron_Affinity_of_N,0.0024257035
Covalent_Radius_of_M2,0.0023559288
Average_electronegativity_of_active_site_(M1-M2-N),0.002025994
Difference_in_the_electronegativity_of_M1_and_M2,0.001939002
d-electron_number_of_M1,0.0017409129
Difference_in_the_d-electron_number_of_M1_and_M2,0.0016530484
Electrical_Conductivity_of_M1,0.0016258354
Atomic_Volume_of_N,0.0014320511
d-band_center_of_M2,0.0014245256
Atomic_Weight_of_M2,0.0013816991
Average_d-electron_number_of_M1_and_M2,0.0012299991
Electron_Affinity_of_M1,0.001205838
First_ionization_energy_of_M1,0.0011249679
m1_Mn,0.00108732
Average_valence-electron_number_of_M1_and_M2,0.00087185844
Difference_in_the_valence-electron_number_of_M1_and_M2,0.000839509
Number_of_valence_electrons_of_M2,0.00083814876
Atomic_Volume_of_M1,0.00072619796
Thermal_Conductivity_of_M2,0.0007127262
Covalent_Radius_of_M1,0.0007025546
Pauling_electronegativity_of_M1,0.0006783017
m1_Co,0.0006712662
m2_Ru,0.0006460116
Average_electronegativity_of_M1_and_M2,0.00064285635
Atomic_Volume_of_M2,0.00062894897
Covalent_Radius_of_N,0.00054563815
m1_Ru,0.00051918806
Thermal_Conductivity_of_M1,0.0003499888
VanDer_Waals_Radius_of_M2,0.000312034
Pauling_electronegativity_of_M2,0.0002851638
m1_Fe,0.00026486523
First_ionization_energy_of_M2,0.00022646709
First_ionization_energy_of_N,0.00018481379
m2_Ni,0.00017910037
m2_Fe,0.00016097953
Electrical_Conductivity_of_M2,0.00015161367
Pauling_electronegativity_of_N,0.00013199121
m1_Cr,0.000121281715
d-electron_number_of_M2,0.000109138906
m1_Ni,8.499462e-05
m2_Mn,6.7940644e-05
m2_Co,5.9079608e-05
m1_Mo,4.1907955e-05
m2_Mo,0.0
m2_Pd,0.0
m2_Pt,0.0
m2_La,0.0
m2_In,0.0
m2_**,0.0
m2_Sn,0.0
m2_Cu,0.0
m2_Ce,0.0
m2_Bi,0.0
Number_of_valence_electrons_of_N,0.0
m1_Ti,0.0
m1_Te,0.0
m1_Sn,0.0
m1_Se,0.0
m1_Pd,0.0
m1_La,0.0
m1_Ir,0.0
m1_Dy,0.0
m1_Bi,0.0
m1_Ag,0.0
m1_**,0.0
VanDer_Waals_Radius_of_N,0.0
p-electron_number_of_N,0.0
Number_of_valence_electrons_of_M1,0.0
m2_V,0.0
